"X_location","Y_location","Z_location","velocity","beam_number"
81903.773438,24824.988284,2738.864258,2599.305908,1
81907.812500,24820.380859,2748.420898,2586.353027,1
81911.835938,24820.771489,2757.962894,2581.695557,1
81910.851562,24826.362109,2767.489990,2577.475342,1
81919.859375,24826.550784,2777.908789,2576.964114,1
81923.859375,24826.939453,2786.519287,2574.557617,1
81927.859375,24827.328125,2796.932474,2579.795659,1
81931.867188,24827.716797,2800.551025,2581.328613,1
81930.890625,24828.307422,2810.986670,2597.663818,1
81939.937500,24828.500000,2824.644775,2599.632812,1
81944.915625,24828.894534,2834.237793,2617.982666,1
81948.340625,24829.294922,2843.874756,2631.677979,1
81957.312500,24829.699219,2853.570068,2659.836426,1
81956.546875,24839.309375,2863.341797,2683.427979,1
81969.851562,24839.525394,2873.201660,2719.971194,1
81960.234375,24839.949219,2883.372119,2754.374756,1
81969.695312,24831.380859,2893.254150,2788.945068,1
81974.226562,24831.818359,2903.454590,2824.236572,1
81978.828125,24837.263672,2913.769287,2853.679443,1
81983.484375,24837.714849,2924.392627,2884.921387,1
81988.395312,24833.369922,2934.718750,2911.240967,1
81997.968750,24833.630859,2940.340088,2939.960205,1
81997.804688,24834.999609,2956.941509,2957.384524,1
82007.695312,24834.572266,2966.811768,2979.471680,1
82007.640625,24830.950784,2977.633545,2999.381644,1
82017.640625,24830.535156,2988.500249,3006.203857,1
82017.687500,24836.923438,2999.407959,3019.412109,1
82027.781250,24836.515625,3019.356445,3034.405273,1
82027.929688,24837.913672,3021.350342,3051.288086,1
82033.325000,24837.517578,3037.389648,3067.440430,1
82038.375000,24838.925394,3043.474609,3083.870364,1
82043.687500,24838.539062,3054.604248,3098.893555,1
82049.946875,24839.958599,3060.777100,3114.390869,1
82054.460938,24839.582034,3076.990967,3127.965576,1
82059.921875,24849.311328,3088.244873,3147.378662,1
82060.429688,24849.644534,3099.534912,3154.309863,1
82079.984375,24841.381644,3119.860840,3167.938086,1
82076.578125,24841.724609,3127.219238,3178.489990,1
82087.218750,24847.271489,3133.609134,3188.572759,1
82087.890625,24847.820312,3140.927349,3198.835205,1
82093.601562,24843.373047,3156.472168,3207.529544,1
82099.343750,24843.929688,3167.942139,3216.865967,1
82100.317188,24844.488284,3179.436035,3220.393848,1
82119.921875,24840.950784,3199.953613,3233.806885,1
82116.757812,24840.615239,3207.491943,3249.977539,1
82127.617188,24846.383599,3214.951025,3248.561768,1
82128.507812,24846.753906,3220.630615,3256.216553,1
82134.421875,24847.328125,3237.229492,3263.913916,1
82149.367188,24847.904297,3248.847168,3279.327686,1
82146.335938,24848.482422,3269.482666,3276.500732,1
82157.328125,24849.962500,3277.335742,3283.338428,1
82158.343750,24849.646489,3283.805908,3289.665527,1
82164.382812,24859.232422,3290.492676,3290.657959,1
82179.445312,24859.820312,3307.395312,3301.790039,1
82176.531250,24851.410156,3318.913579,3307.754150,1
82187.640625,24857.901953,3339.647464,3313.741214,1
82188.765625,24857.595703,3347.395752,3319.231445,1
82194.914062,24853.391406,3354.358694,3324.788579,1
82201.985938,24853.789062,3360.935794,3339.385742,1
